time,GX,GY,GZ
1563310860000,-1.26,0.065,-1.1949999999999998
1563310920000,-1.4,0.2,-1.24
1563310980000,-1.33,0.13,-1.3250000000000002
1563311040000,-1.3,0.11,-1.3
1563311100000,-1.02,-0.07333333333333333,-1.4366666666666668
1563311160000,-1.3633333333333333,-0.016666666666666666,-1.3499999999999999
1563311220000,-1.225,0.09500000000000001,-1.21
1563311280000,-1.13,0.12,-1.2
1563311340000,-0.98,-0.02,-1.28
1563311400000,-1.12,0.02,-1.2
1563311460000,-1.14,-0.11,-1.29
1563311520000,-1.165,0.034999999999999996,-1.3399999999999999
1563311580000,-1.343076923076923,0.05692307692307692,-0.9692307692307692
1563311640000,-1.01,0.01,-1.22
1563311700000,-1.17,0.09500000000000001,-1.25
1563311760000,-1.137,0.10399999999999998,-1.328
1563311820000,-1.34,-0.02,-1.11
1563311880000,-1.1433333333333333,0.03666666666666667,-1.14
1563311940000,-1.19,0.18,-1.25
1563312000000,-1.21,-0.016666666666666663,-1.27
1563312060000,-1.2166666666666666,-0.05,-1.39
1563312120000,-1.2066666666666666,0.09666666666666666,-1.3499999999999999
1563312180000,-1.1,0.23,-1.23
1563312240000,-1.34,0.13,-1.29
1563312300000,-1.37,0.02,-1.1
1563312360000,-1.19,-0.07,-1.13
1563312420000,-1.29,-0.07,-1.1333333333333333
1563312480000,-1.49,0.16,-1.18
1563312540000,-1.27,0.13,-1.33
1563312600000,-1.31,0.05,-1.145
1563312660000,-1.295,-0.015,-1.365
1563312720000,-1.1566666666666665,0.06583333333333333,-1.2258333333333333
1563312780000,-1.26,0.010000000000000009,-1.4366666666666668
1563312840000,-1.2566666666666666,-0.016666666666666663,-1.1833333333333333
1563312900000,-1.2349999999999999,0.035,-1.1099999999999999
1563312960000,-1.24,0.21,-1.1233333333333333
1563313020000,-1.31,-0.01,-1.1
1563313080000,-1.33,0.18,-1.11
1563313140000,-1.0666666666666667,0.13666666666666666,-1.0999999999999999
1563313200000,-1.135,-0.07666666666666667,-1.1400000000000001
1563313260000,-1.16,-0.02,-1.1
1563313320000,-1.31,0.04,-1.24
1563313380000,-1.06,-0.09,-1.31
1563313440000,-1.165,0.13,-0.965
1563313500000,-1.02,0.10666666666666666,-1.3
1563313560000,-1.275,-0.005000000000000001,-1.31
1563313620000,-1.18,0.06,-1.05
1563313680000,-1.1869999999999998,-0.059000000000000004,-1.252
1563313740000,-1.4266666666666667,0.1433333333333333,-1.3233333333333335
1563313800000,-1.2850000000000001,0.055,-1.245
1563313860000,-1.28,0.024999999999999998,-1.13
1563313920000,-1.085,0.07500000000000001,-1.05
1563313980000,-1.3201694915254238,0.22677966101694916,-1.2747457627118643
1563314040000,-1.23,0.05,-1.28
1563314100000,-1.32,0.12,-1.35
1563314160000,-1.1533333333333333,0.085,-1.2000000000000002
1563314220000,-1.3,-0.02,-1.13
1563314280000,-1.205,0.06,-1.135
1563314340000,-1.36,0.02,-1.1
1563314400000,-1.27,0.08,-1.24
1563314460000,-1.11,0.3,-1.09
1563314520000,-1.105,0.22000000000000003,-1.1800000000000002
1563314580000,-1.21,0.11666666666666665,-1.1233333333333333
1563314640000,-1.0733333333333333,0.17666666666666667,-1.1666666666666665
1563314700000,-1.3166666666666667,0.01666666666666667,-1.2933333333333334
1563314760000,-1.25,0.12333333333333334,-1.4833333333333334
1563314820000,-1.2,0.33,-1.2
1563314880000,-1.3,0.15,-1.03
1563314940000,-1.18,0.13,-1.4
1563315000000,-1.21,0.18,-1.3
1563315060000,-1.005,0.08000000000000002,-1.205
1563315120000,-1.2133333333333334,0.21,-1.17
1563315180000,-1.1400000000000001,-0.07,-1.1691666666666667
1563315240000,-1.26,-0.21,-1.24
1563315300000,-1.08,-0.03,-1.11
1563315360000,-1.2933333333333332,0.06333333333333334,-1.2633333333333334
1563315420000,-1.1333333333333333,0.23666666666666666,-1.15
1563315480000,-1.2,0.08,-1.1833333333333333
1563315540000,-1.06,0.11,-1.21
1563315600000,-1.115,0.055,-1.25
1563315660000,-1.1400000000000001,0.045,-1.06
1563315720000,-0.95,0.05,-1.44
1563315780000,-1.13,0.15000000000000002,-1.3050000000000002
1563315840000,-1.11,0.11,-1.16
1563315900000,-1.27,-0.075,-1.1749999999999998
1563315960000,-1.19,-0.03499999999999999,-1.13
1563316020000,-1.165,-0.0049999999999999975,-1.0899999999999999
1563316080000,-1.21,0.065,-1.13
1563316140000,-1.08,0.185,-1.26
1563316200000,-1.41,-0.2,-1.19
1563316260000,-1.19,0.12,-1.69
1563316320000,-1.11,0.05,-1.23
1563316380000,-1.0533333333333332,0.016666666666666663,-1.22
1563316440000,-1.19,-0.02,-1.07
1563316500000,-1.23,0.03,-1.05
1563316560000,-1.11,-0.04,-1.19
1563316620000,-1.2866666666666666,0.06333333333333332,-1.2733333333333332
1563316680000,-1.1866666666666668,0.11,-1.23
1563316740000,-1.1733333333333333,-0.05000000000000002,-1.2533333333333334
1563316800000,-1.12,0.06333333333333334,-0.8833333333333333
1563316860000,-1.1533333333333333,0.09,-1.2333333333333334
1563316920000,-1.3,0.02333333333333333,-1.2014285714285713
1563316980000,-1.175,0.035,-1.2
1563317040000,-1.24,-0.07500000000000001,-1.27
1563317100000,-1.36,0.14,-1.27
1563317160000,-0.79,0.03,-1.15
1563317220000,-1.2366666666666666,0.02333333333333333,-1.0999999999999999
1563317280000,-1.03,0.08,-1.3050000000000002
1563317340000,-1.03,-0.02,-1.32
1563317400000,-1.285945945945946,0.16864864864864865,-1.1497297297297298
1563317460000,-1.17,0.095,-1.09
1563317520000,-1.085,-0.02,-1.15
1563317580000,-1.2349999999999999,0.015,-1.125
1563317640000,-1.0,0.23,-1.26
1563317700000,-1.22,0.05333333333333333,-1.3433333333333333
1563317760000,-1.28,-0.1,-1.13
1563317820000,-1.21,0.03999999999999999,-1.08
1563317880000,-1.05,0.15,-1.27
1563317940000,-1.1,-0.006666666666666668,-1.24
1563318000000,-0.99,0.08,-1.3
1563318060000,-1.115,0.060000000000000005,-0.995
1563318120000,-1.34,0.16,-0.96
1563318180000,-1.18,0.02,-1.16
1563318240000,-1.25,0.19,-1.05
1563318300000,-0.88,0.03,-0.99
1563318360000,-1.0633333333333332,0.04666666666666667,-1.21
1563318420000,-1.18,0.21,-1.3
1563318480000,-1.3733333333333333,0.17666666666666667,-1.1
1563318540000,-1.225,-0.03499999999999999,-1.12
1563318600000,-1.115,0.14500000000000002,-1.225
1563318660000,-1.1766666666666665,0.08,-1.25
1563318720000,-1.2866666666666666,0.06,-1.2133333333333334
1563318780000,-1.14,0.09,-1.1333333333333333
1563318840000,-1.2866666666666666,0.08666666666666666,-1.21
1563318900000,-1.18,0.24,-1.2
1563318960000,-1.28,0.08,-1.25
1563319020000,-1.32,0.11,-1.27
1563319080000,-1.12,0.015,-1.22
1563319140000,-1.31,0.23,-1.2
1563319200000,-1.1933333333333334,0.17333333333333334,-1.2966666666666666
1563319260000,-1.25,0.09,-1.1833333333333333
1563319320000,-1.2166666666666666,6.938893903907228e-18,-1.0933333333333333
1563319380000,-1.27,0.09,-1.08
1563319440000,-1.43,-0.02,-1.21
1563319500000,-1.29,0.17,-1.0
1563319560000,-1.165,0.024999999999999994,-1.225
1563319620000,-1.33,0.14,-1.29
1563319680000,-1.1633333333333333,0.06333333333333334,-1.2833333333333334
1563319740000,-1.02,0.06999999999999999,-1.0566666666666666
1563319800000,-1.05,0.08000000000000002,-1.0899999999999999
1563319860000,-1.3233333333333333,0.08666666666666667,-1.1866666666666665
1563319920000,-0.98,0.11,-1.23
1563319980000,-1.16,0.060000000000000005,-1.19
1563320040000,-1.18,-0.07,-1.14
1563320100000,-1.18,0.31,-1.2
1563320160000,-1.1533333333333333,-0.01666666666666667,-1.05
1563320220000,-1.2025000000000001,-0.03666666666666667,-1.1666666666666665
1563320280000,-1.19,0.2,-1.29
1563320340000,-1.06,0.07,-1.23
1563320400000,-1.08,0.18,-1.4
1563320460000,-1.15,0.02,-1.25
1563320520000,-1.23,-0.05,-1.52
1563320580000,-1.45,0.04,-1.3
1563320640000,-1.3033333333333332,0.04666666666666666,-1.18
1563320700000,-1.2166666666666666,0.006666666666666668,-1.4366666666666668
1563320760000,-1.15,0.01,-1.13
1563320820000,-1.1033333333333333,-0.020000000000000004,-1.2233333333333334
1563320880000,-1.2,0.15,-1.06
1563320940000,-1.21,0.039999999999999994,-1.2033333333333334
1563321000000,-0.9666666666666667,0.14,-1.310769230769231
1563321060000,-1.0983458646616542,-0.036315789473684204,-1.1711278195488721
1563321120000,-1.2517293233082707,0.05842105263157894,-1.175639097744361
1563321180000,-1.26,0.02,-1.31
1563321240000,-1.185,0.07,-1.1800000000000002
1563321300000,-1.31,0.0,-1.39
1563321360000,-1.3666666666666667,0.056666666666666664,-1.1333333333333333
